model,k,pattern,scenario,size_iu,first_topup_min,n_topups,total_topup_iu,mean_diff_iu,mean_abs_diff_iu,worst_abs_diff_iu,worst_diff_iu,worst_diff_time_min,mean_pct_error,mean_abs_pct_error,worst_abs_pct_error,pct_of_window_within_threshold,n_evaluation_points,horizon_min
meesters,0.0038579698605798007,single,10000 IU at 30 min,10000.0,30.0,1,10000.0,1132.2838891762776,1586.9286893599028,3142.8613165832066,3142.8613165832066,240.0,5.056793615328352,6.3397019889951665,15.20915893444224,30.612244897959183,49,240.0
meesters,0.0038579698605798007,single,10000 IU at 60 min,10000.0,60.0,1,10000.0,1360.09875714447,1494.206604453346,3033.1478976541257,3033.1478976541257,240.0,5.707021355983083,6.100692335116779,14.374895072030201,38.775510204081634,49,240.0
meesters,0.0038579698605798007,single,10000 IU at 90 min,10000.0,90.0,1,10000.0,1552.6213016501897,1552.6213016501897,2894.303364788593,2894.303364788593,240.0,6.290113681878844,6.290113681878844,13.415580490367438,32.6530612244898,49,240.0
meesters,0.0038579698605798007,single,10000 IU at 120 min,10000.0,120.0,1,10000.0,1699.866885536621,1699.866885536621,2721.55344682352,2721.55344682352,240.0,6.76564466911136,6.76564466911136,12.320657394794893,20.408163265306122,49,240.0
meesters,0.0038579698605798007,two_boluses,2 x 2500 IU at 60/120 min,2500.0,60.0,2,5000.0,1351.313711705516,1403.531333210947,2719.8029487593903,2719.8029487593903,240.0,6.312756571284824,6.500717417694777,14.610544219265048,36.734693877551024,49,240.0
meesters,0.0038579698605798007,two_boluses,2 x 5000 IU at 60/120 min,5000.0,60.0,2,10000.0,1305.226830797401,1378.0164001514631,2877.350672238823,2877.350672238823,240.0,5.315203795291173,5.558381626533151,13.324255309918176,40.816326530612244,49,240.0
meesters,0.0038579698605798007,two_boluses,2 x 10000 IU at 60/120 min,10000.0,60.0,2,20000.0,1213.053068981171,1347.160916290047,3192.446119197688,3192.446119197688,240.0,3.9346082011517125,4.328279180285408,11.586222898074652,48.97959183673469,49,240.0
meesters,0.0038579698605798007,three_boluses,3 x 2500 IU at 45/90/135 min,2500.0,45.0,3,7500.0,1184.5705701733655,1347.8491828667163,2792.229804283528,2792.229804283528,240.0,5.210000008589039,5.783965533949545,13.882782845290748,40.816326530612244,49,240.0
meesters,0.0038579698605798007,three_boluses,3 x 5000 IU at 45/90/135 min,5000.0,45.0,3,15000.0,1125.2481742849643,1325.468521770715,3022.204383287106,3022.204383287106,240.0,4.0883942419202155,4.743444938519739,12.290409555021698,44.89795918367347,49,240.0
meesters,0.0038579698605798007,three_boluses,3 x 10000 IU at 45/90/135 min,10000.0,45.0,3,30000.0,1006.6033825081631,1305.4642635451562,3482.153541294254,3482.153541294254,240.0,2.683263547161666,3.539440719019903,10.380845175373459,57.14285714285714,49,240.0
